,name,latitude,longitude,adress,photo_id,photo_width
1689,Playground Art Court Флакон,55.8055476,37.5852991,"36 стр.5, Большая Новодмитровская ул., Москва, Россия, 127015",Aap_uEC1SdK-fxolm0U-QxQA1MHUuIKozbIxv2FKR9WXcZHT9Q_SKEFFs1CP-V7o1jV1kDJGf4pKePVRqJVgiArj5bKCxAulbyntIH7g1cF34hDP4ZZ1z17TX2nJGnGKhUUdTiq4XUF9ji9mAz38XKXybvJuSt4jU-chAFFZMDUmsPnnZmZT,720.0
1690,Спортивная Площадка,55.8003165,37.6964867,"Москва, Россия, 107076",,
1691,Рижка,55.79205899999999,37.6171161,"ул. Сущёвский Вал, 56, Москва, Россия, 129272",Aap_uEAF5BNLgyvkHe220T65eBjqgsFaI-WTwWv1XThgqGWuBIBk3h90T9Ww08t3ZW2-opjiXMdyBBckEvrvlHLEZS_xDtfGp4GEARffPDtvMEUnfTEWb4FNftqekJ5Bnl_jSkLhLeZ-BxntopP9mYJVpsx8OXNcxJEKBN7PpWsdpJx-JI6y,4898.0
1692,Баскетбольная Площадка,55.7588677,37.635397,"Москва, Россия, 101000",Aap_uEBnrar5YNQqv2qoLZJR6p9zZuJckTju7CV_m2_ng238uUolRC6tjPIYK9WmwmyIrrU8_M3vcmzNOv1g08jpUW77YorJFejlXw97tBF235vCrBlQ4whlAiXawWgIyW440DNOaMzmk0kdDvw-PzMXcW1UF3L0wwzRFBXqe5FPNAO5yFtm,4032.0
1693,Баскетбольный Центр Playground,55.800827,37.59457889999999,"ул. Складочная, Дом 1, стр.1, Москва, Россия, 127018",Aap_uEAQARlEVqpV0_YcQrct6JGnpSkDYJoIw3M1ZHBVLhV1ne2WxscwWy51AhdWc3zXh1mfAbiAxAWSJMRfGsqUiXeNfslWpg0BHS_Zn9lq4OaXwUbVpdFysoKd0Yrl9MMl3JnRIFvfS4Fmh038MWD47-evX7f03lzw6Pr4d5x7h9UehuER,1125.0
1694,МЖК (Спортивная Площадка),55.9027733,37.7123285,"к, ул. Летная, 42к2, Мытищи, Московская обл., Россия, 141021",Aap_uEBq6BHBaGoY1J_iZOhvTiKDxmo3YsrJlBrPi8iAKnnX21JI5Mv-xN11HNq_gQ2DG8m8a_DUVVjp53tNp_NS47M7wWky98OTFMlA0oZS-wQG6bo8VnXUi9tHEf4Yg7-q2CQHl8dk7wyG0hkd_2SI7nMa44w3u1F70ECxvtROdT0HECh-,1280.0
1695,Баскетбольная площадка,55.81809670000001,37.5005964,"Зои и Александра Космодемьянских ул., 1с1, Москва, Россия, 125026",,
1696,Баскетбольная площадка,55.9408859,37.4946739,"Спортивная ул., Долгопрудный, Московская обл., Россия, 141707",,
1697,Площадка волейбол и баскетбол,55.7870814,37.5324434,"ЦСКА, Москва, Россия, 125252",Aap_uEDF8j6Xjjnb1AR6_x49giPm2qdbfLIz8PZ_nUcYPZwKvcF_Y8Mug2Jfz4dnLxTlyVs0bRDCh3Fj1nso6Msx6dUNoB4_n7HTO6ILrQwhUk7Cs-2E_hG_MJVyXUJijZL6RF92ufG1dRNlLzixzopr0IFlw5AJrumlokZ0acFzxP-AD9XC,2448.0
1698,Площадка,55.8403983,37.50555430000001,"Нарвская ул., 16, Москва, Россия, 125499",,
1699,Метро Свиблово,55.8551031,37.6510593,"Москва, Россия, 129323",Aap_uEAAiZ_peVBcwzWKk8P-MCknXsugZPtRxFvyKtC82UyMNOdgiiV1z0URr4Wxx04TCF6SMhZCgCe_NPhSKtGkpx0kP6wxCWjdfawWGL4edz41pD4zfyOm3dajnNQIjpofMxcBdfOA55JhFBybKa33On9Yv-Tk78XMRUON5Id5Fm9Oh8lL,4608.0
1700,Баскетбольная площадка,55.81809670000001,37.5005964,"Зои и Александра Космодемьянских ул., 1с1, Москва, Россия, 125026",,
1701,Площадка волейбол и баскетбол,55.7870814,37.5324434,"ЦСКА, Москва, Россия, 125252",Aap_uECQM7pHwQH374pxp-Cjg7CEXMM-EbR5VGYJS19VYevsUrV_lc-jsWEQ_VYOPHauWx4WfCRWhSzbZ9ljd41cu6OMmmyxw5u89zBikwVcAhd0zB-I35AfUk0bxAGKcVpSXSX34n32cFNKexiccDN8t28sHE5FF7nhKRDMBOSDKwGdX9xw,2448.0
